Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2012/13,16/03/13,1,Championship Round,Ironi Kiryat Shmona,Hapoel Tel Aviv,0:1,0,1,2000,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-tel-aviv/index/spielbericht/2302267
2012/13,16/03/13,1,Championship Round,Maccabi Tel Aviv,Hapoel Ramat haSharon,1:0,1,0,11300,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-ramat-hasharon/index/spielbericht/2302268
2012/13,17/03/13,1,Championship Round,Maccabi Haifa,Bnei Yehuda Tel Aviv,1:0,1,0,9000,https://www.transfermarkt.com/maccabi-haifa_bnei-yehuda-tel-aviv/index/spielbericht/2302269
2012/13,30/03/13,2,Championship Round,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,1:1,1,1,2500,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_ironi-kiryat-shmona/index/spielbericht/2302272
2012/13,30/03/13,2,Championship Round,Hapoel Ramat haSharon,Hapoel Tel Aviv,0:1,0,1,1400,https://www.transfermarkt.com/hapoel-ramat-hasharon_hapoel-tel-aviv/index/spielbericht/2302271
2012/13,30/03/13,2,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,0:0,0,0,13600,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/2302270
2012/13,02/04/13,3,Championship Round,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,2:1,2,1,6000,https://www.transfermarkt.com/hapoel-tel-aviv_bnei-yehuda-tel-aviv/index/spielbericht/2302273
2012/13,02/04/13,3,Championship Round,Maccabi Haifa,Hapoel Ramat haSharon,6:0,6,0,6000,https://www.transfermarkt.com/maccabi-haifa_hapoel-ramat-hasharon/index/spielbericht/2302274
2012/13,03/04/13,3,Championship Round,Ironi Kiryat Shmona,Maccabi Tel Aviv,1:3,1,3,4500,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-tel-aviv/index/spielbericht/2302275
2012/13,06/04/13,4,Championship Round,Hapoel Ramat haSharon,Bnei Yehuda Tel Aviv,0:3,0,3,300,https://www.transfermarkt.com/hapoel-ramat-hasharon_bnei-yehuda-tel-aviv/index/spielbericht/2302278
2012/13,06/04/13,4,Championship Round,Maccabi Haifa,Ironi Kiryat Shmona,3:2,3,2,8000,https://www.transfermarkt.com/maccabi-haifa_ironi-kiryat-shmona/index/spielbericht/2302276
2012/13,06/04/13,4,Championship Round,Maccabi Tel Aviv,Hapoel Tel Aviv,2:0,2,0,14000,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-tel-aviv/index/spielbericht/2302277
2012/13,13/04/13,5,Championship Round,Hapoel Tel Aviv,Maccabi Haifa,2:2,2,2,9000,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-haifa/index/spielbericht/2302279
2012/13,13/04/13,5,Championship Round,Ironi Kiryat Shmona,Hapoel Ramat haSharon,1:0,1,0,500,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-ramat-hasharon/index/spielbericht/2302280
2012/13,13/04/13,5,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv,2:2,2,2,14000,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-tel-aviv/index/spielbericht/2302281
2012/13,20/04/13,6,Championship Round,Hapoel Tel Aviv,Ironi Kiryat Shmona,1:4,1,4,5000,https://www.transfermarkt.com/hapoel-tel-aviv_ironi-kiryat-shmona/index/spielbericht/2302282
