Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2024/25,15/03/25,1,Championship Round,Hapoel Beer Sheva,Maccabi Netanya,2:0,2,0,13246,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-netanya/index/spielbericht/4577691
2024/25,15/03/25,1,Championship Round,Maccabi Tel Aviv,Hapoel Haifa,3:0,3,0,20230,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-haifa/index/spielbericht/4577692
2024/25,16/03/25,1,Championship Round,Maccabi Haifa,Beitar Jerusalem,3:3,3,3,28150,https://www.transfermarkt.com/maccabi-haifa_beitar-jerusalem/index/spielbericht/4577693
2024/25,29/03/25,2,Championship Round,Hapoel Haifa,Maccabi Haifa,0:2,0,2,13100,https://www.transfermarkt.com/hapoel-haifa_maccabi-haifa/index/spielbericht/4577686
2024/25,30/03/25,2,Championship Round,Maccabi Netanya,Beitar Jerusalem,0:1,0,1,11131,https://www.transfermarkt.com/maccabi-netanya_beitar-jerusalem/index/spielbericht/4577685
2024/25,31/03/25,2,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,1:3,1,3,15784,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/4577687
2024/25,05/04/25,3,Championship Round,Maccabi Tel Aviv,Maccabi Netanya,4:1,4,1,23415,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-netanya/index/spielbericht/4577702
2024/25,06/04/25,3,Championship Round,Beitar Jerusalem,Hapoel Haifa,0:1,0,1,15231,https://www.transfermarkt.com/beitar-jerusalem_hapoel-haifa/index/spielbericht/4577700
2024/25,07/04/25,3,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,0:3,0,3,28130,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/4577701
2024/25,14/04/25,4,Championship Round,Maccabi Netanya,Hapoel Haifa,2:2,2,2,4971,https://www.transfermarkt.com/maccabi-netanya_hapoel-haifa/index/spielbericht/4577694
2024/25,14/04/25,4,Championship Round,Hapoel Beer Sheva,Beitar Jerusalem,3:1,3,1,15164,https://www.transfermarkt.com/hapoel-beer-sheva_beitar-jerusalem/index/spielbericht/4577695
2024/25,14/04/25,4,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,1:1,1,1,28429,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/4577696
2024/25,19/04/25,5,Championship Round,Hapoel Haifa,Hapoel Beer Sheva,1:2,1,2,3040,https://www.transfermarkt.com/hapoel-haifa_hapoel-beer-sheva/index/spielbericht/4577675
2024/25,20/04/25,5,Championship Round,Maccabi Haifa,Maccabi Netanya,1:0,1,0,17120,https://www.transfermarkt.com/maccabi-haifa_maccabi-netanya/index/spielbericht/4577673
2024/25,21/04/25,5,Championship Round,Beitar Jerusalem,Maccabi Tel Aviv,3:1,3,1,25576,https://www.transfermarkt.com/beitar-jerusalem_maccabi-tel-aviv/index/spielbericht/4577674
2024/25,26/04/25,6,Championship Round,Hapoel Haifa,Maccabi Tel Aviv,1:3,1,3,7490,https://www.transfermarkt.com/hapoel-haifa_maccabi-tel-aviv/index/spielbericht/4577677
2024/25,27/04/25,6,Championship Round,Maccabi Netanya,Hapoel Beer Sheva,2:1,2,1,7120,https://www.transfermarkt.com/maccabi-netanya_hapoel-beer-sheva/index/spielbericht/4577676
2024/25,28/04/25,6,Championship Round,Beitar Jerusalem,Maccabi Haifa,1:2,1,2,26237,https://www.transfermarkt.com/beitar-jerusalem_maccabi-haifa/index/spielbericht/4577678
2024/25,03/05/25,7,Championship Round,Maccabi Haifa,Hapoel Haifa,1:5,1,5,24130,https://www.transfermarkt.com/maccabi-haifa_hapoel-haifa/index/spielbericht/4577683
2024/25,04/05/25,7,Championship Round,Beitar Jerusalem,Maccabi Netanya,0:3,0,3,13500,https://www.transfermarkt.com/beitar-jerusalem_maccabi-netanya/index/spielbericht/4577682
2024/25,05/05/25,7,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,1:1,1,1,27063,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/4577684
2024/25,11/05/25,8,Championship Round,Hapoel Haifa,Beitar Jerusalem,1:0,1,0,7973,https://www.transfermarkt.com/hapoel-haifa_beitar-jerusalem/index/spielbericht/4577699
2024/25,12/05/25,8,Championship Round,Maccabi Netanya,Maccabi Tel Aviv,1:6,1,6,11733,https://www.transfermarkt.com/maccabi-netanya_maccabi-tel-aviv/index/spielbericht/4577697
2024/25,12/05/25,8,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,4:1,4,1,14853,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/4577698
2024/25,17/05/25,9,Championship Round,Hapoel Haifa,Maccabi Netanya,1:1,1,1,4079,https://www.transfermarkt.com/hapoel-haifa_maccabi-netanya/index/spielbericht/4577688
2024/25,19/05/25,9,Championship Round,Beitar Jerusalem,Hapoel Beer Sheva,1:1,1,1,25370,https://www.transfermarkt.com/beitar-jerusalem_hapoel-beer-sheva/index/spielbericht/4577689
2024/25,19/05/25,9,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,0:3,0,3,27843,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/4577690
2024/25,24/05/25,10,Championship Round,Hapoel Beer Sheva,Hapoel Haifa,5:0,5,0,15775,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-haifa/index/spielbericht/4577681
2024/25,24/05/25,10,Championship Round,Maccabi Tel Aviv,Beitar Jerusalem,5:0,5,0,28108,https://www.transfermarkt.com/maccabi-tel-aviv_beitar-jerusalem/index/spielbericht/4577680
2024/25,24/05/25,10,Championship Round,Maccabi Netanya,Maccabi Haifa,2:3,2,3,5252,https://www.transfermarkt.com/maccabi-netanya_maccabi-haifa/index/spielbericht/4577679
2024/25,15/03/25,1,Relegation Round,Ironi Tiberias,Hapoel Hadera,1:1,1,1,534,https://www.transfermarkt.com/ironi-tiberias_hapoel-hadera/index/spielbericht/4577658
2024/25,15/03/25,1,Relegation Round,Ironi Kiryat Shmona,Maccabi Petah Tikva,2:1,2,1,245,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-petah-tikva/index/spielbericht/4577657
