Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2022/23,18/03/23,1,Championship Round,Hapoel Beer Sheva,Hapoel Jerusalem,1:0,1,0,12536,https://www.transfermarkt.com/hapoel-beer-sheva_hapoel-jerusalem/index/spielbericht/4040783
2022/23,18/03/23,1,Championship Round,Maccabi Tel Aviv,Maccabi Netanya,2:0,2,0,16602,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-netanya/index/spielbericht/4040784
2022/23,18/03/23,1,Championship Round,Maccabi Haifa,FC Ashdod,2:1,2,1,28076,https://www.transfermarkt.com/maccabi-haifa_fc-ashdod/index/spielbericht/4040785
2022/23,01/04/23,2,Championship Round,Hapoel Jerusalem,Maccabi Tel Aviv,0:2,0,2,4242,https://www.transfermarkt.com/hapoel-jerusalem_maccabi-tel-aviv/index/spielbericht/4044262
2022/23,01/04/23,2,Championship Round,Maccabi Haifa,Hapoel Beer Sheva,1:0,1,0,29875,https://www.transfermarkt.com/maccabi-haifa_hapoel-beer-sheva/index/spielbericht/4044261
2022/23,01/04/23,2,Championship Round,FC Ashdod,Maccabi Netanya,3:2,3,2,2422,https://www.transfermarkt.com/fc-ashdod_maccabi-netanya/index/spielbericht/4044263
2022/23,04/04/23,3,Championship Round,Maccabi Netanya,Hapoel Jerusalem,0:2,0,2,3484,https://www.transfermarkt.com/maccabi-netanya_hapoel-jerusalem/index/spielbericht/4044266
2022/23,04/04/23,3,Championship Round,Hapoel Beer Sheva,FC Ashdod,3:1,3,1,10448,https://www.transfermarkt.com/hapoel-beer-sheva_fc-ashdod/index/spielbericht/4044265
2022/23,04/04/23,3,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,1:1,1,1,26330,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/4044264
2022/23,08/04/23,4,Championship Round,FC Ashdod,Hapoel Jerusalem,0:1,0,1,2231,https://www.transfermarkt.com/fc-ashdod_hapoel-jerusalem/index/spielbericht/4044269
2022/23,08/04/23,4,Championship Round,Maccabi Haifa,Maccabi Netanya,4:1,4,1,29431,https://www.transfermarkt.com/maccabi-haifa_maccabi-netanya/index/spielbericht/4044267
2022/23,10/04/23,4,Championship Round,Hapoel Beer Sheva,Maccabi Tel Aviv,1:2,1,2,15114,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-tel-aviv/index/spielbericht/4044268
2022/23,15/04/23,5,Championship Round,Hapoel Jerusalem,Maccabi Haifa,2:1,2,1,18755,https://www.transfermarkt.com/hapoel-jerusalem_maccabi-haifa/index/spielbericht/4044271
2022/23,15/04/23,5,Championship Round,Maccabi Tel Aviv,FC Ashdod,1:1,1,1,15686,https://www.transfermarkt.com/maccabi-tel-aviv_fc-ashdod/index/spielbericht/4044270
2022/23,16/04/23,5,Championship Round,Maccabi Netanya,Hapoel Beer Sheva,1:1,1,1,6341,https://www.transfermarkt.com/maccabi-netanya_hapoel-beer-sheva/index/spielbericht/4044272
2022/23,22/04/23,6,Championship Round,Hapoel Jerusalem,Hapoel Beer Sheva,1:2,1,2,2988,https://www.transfermarkt.com/hapoel-jerusalem_hapoel-beer-sheva/index/spielbericht/4044273
2022/23,22/04/23,6,Championship Round,Maccabi Netanya,Maccabi Tel Aviv,0:0,0,0,8730,https://www.transfermarkt.com/maccabi-netanya_maccabi-tel-aviv/index/spielbericht/4044274
2022/23,23/04/23,6,Championship Round,FC Ashdod,Maccabi Haifa,1:2,1,2,6497,https://www.transfermarkt.com/fc-ashdod_maccabi-haifa/index/spielbericht/4044275
2022/23,29/04/23,7,Championship Round,Maccabi Netanya,FC Ashdod,2:0,2,0,4222,https://www.transfermarkt.com/maccabi-netanya_fc-ashdod/index/spielbericht/4044278
2022/23,29/04/23,7,Championship Round,Maccabi Tel Aviv,Hapoel Jerusalem,2:1,2,1,11743,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-jerusalem/index/spielbericht/4044276
2022/23,01/05/23,7,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,2:1,2,1,10727,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/4044277
2022/23,07/05/23,8,Championship Round,Hapoel Jerusalem,Maccabi Netanya,1:4,1,4,1331,https://www.transfermarkt.com/hapoel-jerusalem_maccabi-netanya/index/spielbericht/4044280
2022/23,08/05/23,8,Championship Round,Maccabi Haifa,Maccabi Tel Aviv,3:1,3,1,28752,https://www.transfermarkt.com/maccabi-haifa_maccabi-tel-aviv/index/spielbericht/4044279
2022/23,08/05/23,8,Championship Round,FC Ashdod,Hapoel Beer Sheva,0:1,0,1,3629,https://www.transfermarkt.com/fc-ashdod_hapoel-beer-sheva/index/spielbericht/4044281
2022/23,14/05/23,9,Championship Round,Hapoel Jerusalem,FC Ashdod,0:1,0,1,592,https://www.transfermarkt.com/hapoel-jerusalem_fc-ashdod/index/spielbericht/4044283
2022/23,15/05/23,9,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,3:0,3,0,12471,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/4044282
2022/23,15/05/23,9,Championship Round,Maccabi Netanya,Maccabi Haifa,1:5,1,5,12960,https://www.transfermarkt.com/maccabi-netanya_maccabi-haifa/index/spielbericht/4044284
2022/23,20/05/23,10,Championship Round,Maccabi Haifa,Hapoel Jerusalem,5:0,5,0,30564,https://www.transfermarkt.com/maccabi-haifa_hapoel-jerusalem/index/spielbericht/4044285
2022/23,20/05/23,10,Championship Round,Hapoel Beer Sheva,Maccabi Netanya,2:0,2,0,7438,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-netanya/index/spielbericht/4044286
2022/23,20/05/23,10,Championship Round,FC Ashdod,Maccabi Tel Aviv,1:2,1,2,3569,https://www.transfermarkt.com/fc-ashdod_maccabi-tel-aviv/index/spielbericht/4044287
2022/23,18/03/23,1,Relegation Round,Hapoel Hadera,Sekzia Ness Ziona,1:2,1,2,648,https://www.transfermarkt.com/hapoel-hadera_sekzia-ness-ziona/index/spielbericht/4040786
2022/23,18/03/23,1,Relegation Round,Beitar Jerusalem,Hapoel Tel Aviv,2:1,2,1,9000,https://www.transfermarkt.com/beitar-jerusalem_hapoel-tel-aviv/index/spielbericht/4040787
2022/23,19/03/23,1,Relegation Round,Ihud Bnei Sakhnin,Maccabi Bnei Reineh,2:2,2,2,1000,https://www.transfermarkt.com/ihud-bnei-sakhnin_maccabi-bnei-reineh/index/spielbericht/4040788
2022/23,19/03/23,1,Relegation Round,Hapoel Haifa,Ironi Kiryat Shmona,1:1,1,1,700,https://www.transfermarkt.com/hapoel-haifa_ironi-kiryat-shmona/index/spielbericht/4040789
2022/23,01/04/23,2,Relegation Round,Hapoel Tel Aviv,Sekzia Ness Ziona,2:1,2,1,9360,https://www.transfermarkt.com/hapoel-tel-aviv_sekzia-ness-ziona/index/spielbericht/4044288
2022/23,02/04/23,2,Relegation Round,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,2:2,2,2,1219,https://www.transfermarkt.com/ironi-kiryat-shmona_ihud-bnei-sakhnin/index/spielbericht/4044290
2022/23,02/04/23,2,Relegation Round,Maccabi Bnei Reineh,Hapoel Hadera,1:1,1,1,914,https://www.transfermarkt.com/maccabi-bnei-reineh_hapoel-hadera/index/spielbericht/4044291
2022/23,03/04/23,2,Relegation Round,Beitar Jerusalem,Hapoel Haifa,2:0,2,0,5336,https://www.transfermarkt.com/beitar-jerusalem_hapoel-haifa/index/spielbericht/4044289
2022/23,15/04/23,3,Relegation Round,Hapoel Haifa,Hapoel Tel Aviv,1:0,1,0,3950,https://www.transfermarkt.com/hapoel-haifa_hapoel-tel-aviv/index/spielbericht/4044295
2022/23,15/04/23,3,Relegation Round,Sekzia Ness Ziona,Maccabi Bnei Reineh,1:2,1,2,419,https://www.transfermarkt.com/sekzia-ness-ziona_maccabi-bnei-reineh/index/spielbericht/4044292
2022/23,15/04/23,3,Relegation Round,Hapoel Hadera,Ironi Kiryat Shmona,1:1,1,1,980,https://www.transfermarkt.com/hapoel-hadera_ironi-kiryat-shmona/index/spielbericht/4044294
2022/23,16/04/23,3,Relegation Round,Ihud Bnei Sakhnin,Beitar Jerusalem,4:3,4,3,5656,https://www.transfermarkt.com/ihud-bnei-sakhnin_beitar-jerusalem/index/spielbericht/4044293
2022/23,22/04/23,4,Relegation Round,Hapoel Tel Aviv,Maccabi Bnei Reineh,1:2,1,2,9122,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-bnei-reineh/index/spielbericht/4044296
2022/23,22/04/23,4,Relegation Round,Ironi Kiryat Shmona,Sekzia Ness Ziona,1:1,1,1,1380,https://www.transfermarkt.com/ironi-kiryat-shmona_sekzia-ness-ziona/index/spielbericht/4044298
2022/23,22/04/23,4,Relegation Round,Hapoel Haifa,Ihud Bnei Sakhnin,2:2,2,2,1850,https://www.transfermarkt.com/hapoel-haifa_ihud-bnei-sakhnin/index/spielbericht/4044299
2022/23,23/04/23,4,Relegation Round,Beitar Jerusalem,Hapoel Hadera,2:1,2,1,4697,https://www.transfermarkt.com/beitar-jerusalem_hapoel-hadera/index/spielbericht/4044297
2022/23,29/04/23,5,Relegation Round,Maccabi Bnei Reineh,Ironi Kiryat Shmona,1:3,1,3,1965,https://www.transfermarkt.com/maccabi-bnei-reineh_ironi-kiryat-shmona/index/spielbericht/4044303
2022/23,29/04/23,5,Relegation Round,Sekzia Ness Ziona,Beitar Jerusalem,1:3,1,3,1696,https://www.transfermarkt.com/sekzia-ness-ziona_beitar-jerusalem/index/spielbericht/4044300
2022/23,30/04/23,5,Relegation Round,Hapoel Hadera,Hapoel Haifa,1:2,1,2,1113,https://www.transfermarkt.com/hapoel-hadera_hapoel-haifa/index/spielbericht/4044302
2022/23,30/04/23,5,Relegation Round,Ihud Bnei Sakhnin,Hapoel Tel Aviv,0:1,0,1,3998,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-tel-aviv/index/spielbericht/4044301
2022/23,06/05/23,6,Relegation Round,Hapoel Tel Aviv,Ironi Kiryat Shmona,2:2,2,2,12885,https://www.transfermarkt.com/hapoel-tel-aviv_ironi-kiryat-shmona/index/spielbericht/4044304
2022/23,06/05/23,6,Relegation Round,Beitar Jerusalem,Maccabi Bnei Reineh,0:1,0,1,4071,https://www.transfermarkt.com/beitar-jerusalem_maccabi-bnei-reineh/index/spielbericht/4044305
2022/23,06/05/23,6,Relegation Round,Ihud Bnei Sakhnin,Hapoel Hadera,2:3,2,3,2745,https://www.transfermarkt.com/ihud-bnei-sakhnin_hapoel-hadera/index/spielbericht/4044306
2022/23,06/05/23,6,Relegation Round,Hapoel Haifa,Sekzia Ness Ziona,0:1,0,1,2066,https://www.transfermarkt.com/hapoel-haifa_sekzia-ness-ziona/index/spielbericht/4044307
2022/23,13/05/23,7,Relegation Round,Sekzia Ness Ziona,Ihud Bnei Sakhnin,1:1,1,1,127,https://www.transfermarkt.com/sekzia-ness-ziona_ihud-bnei-sakhnin/index/spielbericht/4044308
2022/23,13/05/23,7,Relegation Round,Hapoel Hadera,Hapoel Tel Aviv,1:2,1,2,2003,https://www.transfermarkt.com/hapoel-hadera_hapoel-tel-aviv/index/spielbericht/4044309
2022/23,13/05/23,7,Relegation Round,Ironi Kiryat Shmona,Beitar Jerusalem,3:2,3,2,1117,https://www.transfermarkt.com/ironi-kiryat-shmona_beitar-jerusalem/index/spielbericht/4044310
2022/23,13/05/23,7,Relegation Round,Maccabi Bnei Reineh,Hapoel Haifa,0:4,0,4,1347,https://www.transfermarkt.com/maccabi-bnei-reineh_hapoel-haifa/index/spielbericht/4044311
