Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2019/20,24/08/19,1,Hapoel Hadera,FC Ashdod,973
2019/20,24/08/19,1,Maccabi Haifa,Hapoel Raanana,17632
2019/20,24/08/19,1,Sekzia Ness Ziona,Maccabi Tel Aviv,5654
2019/20,25/08/19,1,Beitar Jerusalem,Hapoel Beer Sheva,18886
2019/20,25/08/19,1,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,3318
2019/20,25/08/19,1,Hapoel Kfar Saba,Hapoel Haifa,1917
2019/20,26/08/19,1,Hapoel Tel Aviv,Maccabi Netanya,18600
2019/20,01/09/19,2,Hapoel Beer Sheva,Hapoel Hadera,11277
2019/20,01/09/19,2,Hapoel Raanana,Beitar Jerusalem,8000
2019/20,01/09/19,2,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,26513
2019/20,02/09/19,2,Ironi Kiryat Shmona,Hapoel Kfar Saba,500
2019/20,31/08/19,2,FC Ashdod,Hapoel Tel Aviv,3250
2019/20,31/08/19,2,Hapoel Haifa,Maccabi Haifa,23400
2019/20,31/08/19,2,Maccabi Netanya,Sekzia Ness Ziona,4500
2019/20,14/09/19,3,Hapoel Hadera,Hapoel Raanana,1200
2019/20,14/09/19,3,Hapoel Kfar Saba,Maccabi Tel Aviv,4000
2019/20,14/09/19,3,Hapoel Tel Aviv,Sekzia Ness Ziona,10400
2019/20,14/09/19,3,Maccabi Haifa,Ironi Kiryat Shmona,18124
2019/20,15/09/19,3,Bnei Yehuda Tel Aviv,Maccabi Netanya,3000
2019/20,15/09/19,3,FC Ashdod,Hapoel Beer Sheva,3400
2019/20,16/09/19,3,Beitar Jerusalem,Hapoel Haifa,11000
2019/20,21/09/19,4,Ironi Kiryat Shmona,Beitar Jerusalem,2600
2019/20,21/09/19,4,Maccabi Netanya,Hapoel Kfar Saba,5300
2019/20,21/09/19,4,Maccabi Tel Aviv,Maccabi Haifa,26234
2019/20,21/09/19,4,Sekzia Ness Ziona,Bnei Yehuda Tel Aviv,927
2019/20,22/09/19,4,Hapoel Haifa,Hapoel Hadera,3200
2019/20,22/09/19,4,Hapoel Raanana,FC Ashdod,350
2019/20,23/09/19,4,Hapoel Beer Sheva,Hapoel Tel Aviv,12287
2019/20,25/09/19,5,Hapoel Kfar Saba,Sekzia Ness Ziona,880
2019/20,25/09/19,5,Maccabi Haifa,Maccabi Netanya,15173
2019/20,28/09/19,5,Beitar Jerusalem,Maccabi Tel Aviv,15930
2019/20,28/09/19,5,FC Ashdod,Hapoel Haifa,1480
2019/20,28/09/19,5,Hapoel Beer Sheva,Hapoel Raanana,11477
2019/20,28/09/19,5,Hapoel Hadera,Ironi Kiryat Shmona,1000
2019/20,28/09/19,5,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,11500
2019/20,05/10/19,6,Hapoel Haifa,Hapoel Beer Sheva,4600
2019/20,05/10/19,6,Maccabi Tel Aviv,Hapoel Hadera,24829
2019/20,05/10/19,6,Sekzia Ness Ziona,Maccabi Haifa,10800
2019/20,06/10/19,6,Bnei Yehuda Tel Aviv,Hapoel Kfar Saba,1550
2019/20,06/10/19,6,Hapoel Raanana,Hapoel Tel Aviv,2800
2019/20,06/10/19,6,Maccabi Netanya,Beitar Jerusalem,7500
2019/20,07/10/19,6,Ironi Kiryat Shmona,FC Ashdod,580
2019/20,19/10/19,7,Hapoel Beer Sheva,Ironi Kiryat Shmona,11581
2019/20,19/10/19,7,Hapoel Hadera,Maccabi Netanya,3000
2019/20,19/10/19,7,Hapoel Tel Aviv,Hapoel Kfar Saba,10000
2019/20,19/10/19,7,Sekzia Ness Ziona,Beitar Jerusalem,6979
2019/20,21/10/19,7,FC Ashdod,Maccabi Tel Aviv,5090
2019/20,21/10/19,7,Hapoel Raanana,Hapoel Haifa,1200
2019/20,21/10/19,7,Maccabi Haifa,Bnei Yehuda Tel Aviv,24277
2019/20,26/10/19,8,Hapoel Haifa,Hapoel Tel Aviv,6102
2019/20,26/10/19,8,Hapoel Kfar Saba,Maccabi Haifa,7000
2019/20,26/10/19,8,Ironi Kiryat Shmona,Hapoel Raanana,500
2019/20,26/10/19,8,Maccabi Netanya,FC Ashdod,3400
2019/20,27/10/19,8,Bnei Yehuda Tel Aviv,Beitar Jerusalem,9000
2019/20,27/10/19,8,Sekzia Ness Ziona,Hapoel Hadera,532
2019/20,28/10/19,8,Maccabi Tel Aviv,Hapoel Beer Sheva,27566
2019/20,02/11/19,9,Beitar Jerusalem,Hapoel Kfar Saba,11000
2019/20,02/11/19,9,Hapoel Hadera,Bnei Yehuda Tel Aviv,1500
2019/20,02/11/19,9,Hapoel Haifa,Ironi Kiryat Shmona,3270
2019/20,02/11/19,9,Hapoel Raanana,Maccabi Tel Aviv,7500
2019/20,03/11/19,9,FC Ashdod,Sekzia Ness Ziona,932
2019/20,03/11/19,9,Hapoel Beer Sheva,Maccabi Netanya,11275
2019/20,04/11/19,9,Hapoel Tel Aviv,Maccabi Haifa,19000
2019/20,09/11/19,10,Ironi Kiryat Shmona,Hapoel Tel Aviv,3600
2019/20,09/11/19,10,Maccabi Netanya,Hapoel Raanana,5200
2019/20,09/11/19,10,Maccabi Tel Aviv,Hapoel Haifa,23125
2019/20,09/11/19,10,Sekzia Ness Ziona,Hapoel Beer Sheva,3872
2019/20,10/11/19,10,Bnei Yehuda Tel Aviv,FC Ashdod,1300
2019/20,10/11/19,10,Hapoel Kfar Saba,Hapoel Hadera,1400
2019/20,10/11/19,10,Maccabi Haifa,Beitar Jerusalem,0
2019/20,01/12/19,11,Hapoel Hadera,Maccabi Haifa,8500
2019/20,01/12/19,11,Hapoel Tel Aviv,Beitar Jerusalem,19100
2019/20,30/11/19,11,FC Ashdod,Hapoel Kfar Saba,966
2019/20,30/11/19,11,Hapoel Beer Sheva,Bnei Yehuda Tel Aviv,11460
2019/20,30/11/19,11,Hapoel Haifa,Maccabi Netanya,4600
2019/20,30/11/19,11,Hapoel Raanana,Sekzia Ness Ziona,700
2019/20,30/11/19,11,Ironi Kiryat Shmona,Maccabi Tel Aviv,4259
2019/20,03/12/19,12,Bnei Yehuda Tel Aviv,Hapoel Raanana,1200
2019/20,03/12/19,12,Hapoel Kfar Saba,Hapoel Beer Sheva,1800
2019/20,03/12/19,12,Maccabi Netanya,Ironi Kiryat Shmona,4500
2019/20,04/12/19,12,Beitar Jerusalem,Hapoel Hadera,7450
2019/20,04/12/19,12,Hapoel Tel Aviv,Maccabi Tel Aviv,22000
2019/20,04/12/19,12,Maccabi Haifa,FC Ashdod,16157
2019/20,04/12/19,12,Sekzia Ness Ziona,Hapoel Haifa,493
2019/20,07/12/19,13,Hapoel Haifa,Bnei Yehuda Tel Aviv,3050
2019/20,07/12/19,13,Hapoel Raanana,Hapoel Kfar Saba,800
2019/20,07/12/19,13,Ironi Kiryat Shmona,Sekzia Ness Ziona,250
2019/20,07/12/19,13,Maccabi Tel Aviv,Maccabi Netanya,21519
2019/20,08/12/19,13,FC Ashdod,Beitar Jerusalem,3457
