Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2010/11,23/04/11,1,Championship Round,Maccabi Tel Aviv,Ironi Kiryat Shmona,3:1,3,1,7751,https://www.transfermarkt.com/maccabi-tel-aviv_ironi-kiryat-shmona/index/spielbericht/1097709
2010/11,23/04/11,1,Championship Round,Maccabi Haifa,Maccabi Netanya,1:2,1,2,11000,https://www.transfermarkt.com/maccabi-haifa_maccabi-netanya/index/spielbericht/1097710
2010/11,25/04/11,1,Championship Round,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,2:1,2,1,13250,https://www.transfermarkt.com/hapoel-tel-aviv_bnei-yehuda-tel-aviv/index/spielbericht/1097711
2010/11,30/04/11,2,Championship Round,Maccabi Haifa,Hapoel Tel Aviv,2:0,2,0,14000,https://www.transfermarkt.com/maccabi-haifa_hapoel-tel-aviv/index/spielbericht/1097712
2010/11,30/04/11,2,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv,1:3,1,3,4500,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-tel-aviv/index/spielbericht/1097713
2010/11,30/04/11,2,Championship Round,Maccabi Netanya,Ironi Kiryat Shmona,3:3,3,3,0,https://www.transfermarkt.com/maccabi-netanya_ironi-kiryat-shmona/index/spielbericht/1097714
2010/11,07/05/11,3,Championship Round,Hapoel Tel Aviv,Maccabi Netanya,2:2,2,2,12350,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-netanya/index/spielbericht/1097715
2010/11,07/05/11,3,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,0:2,0,2,13000,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/1097716
2010/11,07/05/11,3,Championship Round,Ironi Kiryat Shmona,Bnei Yehuda Tel Aviv,1:2,1,2,2500,https://www.transfermarkt.com/ironi-kiryat-shmona_bnei-yehuda-tel-aviv/index/spielbericht/1097717
2010/11,14/05/11,4,Championship Round,Hapoel Tel Aviv,Maccabi Tel Aviv,2:2,2,2,14100,https://www.transfermarkt.com/hapoel-tel-aviv_maccabi-tel-aviv/index/spielbericht/1097718
2010/11,14/05/11,4,Championship Round,Maccabi Netanya,Bnei Yehuda Tel Aviv,0:4,0,4,3750,https://www.transfermarkt.com/maccabi-netanya_bnei-yehuda-tel-aviv/index/spielbericht/1097720
2010/11,16/05/11,4,Championship Round,Maccabi Haifa,Ironi Kiryat Shmona,2:0,2,0,15000,https://www.transfermarkt.com/maccabi-haifa_ironi-kiryat-shmona/index/spielbericht/1097719
2010/11,21/05/11,5,Championship Round,Maccabi Tel Aviv,Maccabi Netanya,4:1,4,1,0,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-netanya/index/spielbericht/1097721
2010/11,21/05/11,5,Championship Round,Ironi Kiryat Shmona,Hapoel Tel Aviv,2:1,2,1,2000,https://www.transfermarkt.com/ironi-kiryat-shmona_hapoel-tel-aviv/index/spielbericht/1097722
2010/11,21/05/11,5,Championship Round,Bnei Yehuda Tel Aviv,Maccabi Haifa,1:1,1,1,3000,https://www.transfermarkt.com/bnei-yehuda-tel-aviv_maccabi-haifa/index/spielbericht/1097723
2010/11,23/04/11,1,Relegation Round,Beitar Jerusalem,Hapoel Ramat Gan,5:1,5,1,0,https://www.transfermarkt.com/beitar-jerusalem_hapoel-ramat-gan/index/spielbericht/1097724
2010/11,23/04/11,1,Relegation Round,FC Ashdod,Hapoel Ashkelon,4:1,4,1,0,https://www.transfermarkt.com/fc-ashdod_hapoel-ashkelon/index/spielbericht/1097725
2010/11,23/04/11,1,Relegation Round,Hapoel Petah Tikva,Ihud Bnei Sakhnin,1:1,1,1,1000,https://www.transfermarkt.com/hapoel-petah-tikva_ihud-bnei-sakhnin/index/spielbericht/1097726
2010/11,30/04/11,2,Relegation Round,Beitar Jerusalem,Hapoel Petah Tikva,3:0,3,0,4000,https://www.transfermarkt.com/beitar-jerusalem_hapoel-petah-tikva/index/spielbericht/1097727
2010/11,30/04/11,2,Relegation Round,Ihud Bnei Sakhnin,FC Ashdod,1:0,1,0,0,https://www.transfermarkt.com/ihud-bnei-sakhnin_fc-ashdod/index/spielbericht/1097728
2010/11,30/04/11,2,Relegation Round,Hapoel Ramat Gan,Hapoel Ashkelon,2:0,2,0,0,https://www.transfermarkt.com/hapoel-ramat-gan_hapoel-ashkelon/index/spielbericht/1097729
2010/11,07/05/11,3,Relegation Round,Hapoel Petah Tikva,Hapoel Ramat Gan,1:2,1,2,1000,https://www.transfermarkt.com/hapoel-petah-tikva_hapoel-ramat-gan/index/spielbericht/1097730
2010/11,07/05/11,3,Relegation Round,FC Ashdod,Beitar Jerusalem,0:0,0,0,0,https://www.transfermarkt.com/fc-ashdod_beitar-jerusalem/index/spielbericht/1097731
2010/11,07/05/11,3,Relegation Round,Hapoel Ashkelon,Ihud Bnei Sakhnin,2:1,2,1,0,https://www.transfermarkt.com/hapoel-ashkelon_ihud-bnei-sakhnin/index/spielbericht/1097732
2010/11,14/05/11,4,Relegation Round,Hapoel Petah Tikva,FC Ashdod,1:1,1,1,2500,https://www.transfermarkt.com/hapoel-petah-tikva_fc-ashdod/index/spielbericht/1097733
2010/11,14/05/11,4,Relegation Round,Beitar Jerusalem,Hapoel Ashkelon,0:1,0,1,0,https://www.transfermarkt.com/beitar-jerusalem_hapoel-ashkelon/index/spielbericht/1097734
2010/11,14/05/11,4,Relegation Round,Hapoel Ramat Gan,Ihud Bnei Sakhnin,1:2,1,2,0,https://www.transfermarkt.com/hapoel-ramat-gan_ihud-bnei-sakhnin/index/spielbericht/1097735
2010/11,21/05/11,5,Relegation Round,FC Ashdod,Hapoel Ramat Gan,1:0,1,0,0,https://www.transfermarkt.com/fc-ashdod_hapoel-ramat-gan/index/spielbericht/1097736
