Season,Date,Matchday,Stage,HomeTeam,AwayTeam,Score,HomeGoals,AwayGoals,Attendance,MatchURL
2014/15,21/03/15,1,Championship Round,Hapoel Beer Sheva,Maccabi Petah Tikva,3:0,3,0,6000,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-petah-tikva/index/spielbericht/2551299
2014/15,22/03/15,1,Championship Round,Ironi Kiryat Shmona,Beitar Jerusalem,1:2,1,2,2200,https://www.transfermarkt.com/ironi-kiryat-shmona_beitar-jerusalem/index/spielbericht/2551300
2014/15,22/03/15,1,Championship Round,Maccabi Tel Aviv,Maccabi Haifa,2:1,2,1,13000,https://www.transfermarkt.com/maccabi-tel-aviv_maccabi-haifa/index/spielbericht/2551301
2014/15,05/04/15,2,Championship Round,Maccabi Haifa,Beitar Jerusalem,1:0,1,0,29235,https://www.transfermarkt.com/maccabi-haifa_beitar-jerusalem/index/spielbericht/2551302
2014/15,06/04/15,2,Championship Round,Maccabi Petah Tikva,Ironi Kiryat Shmona,0:1,0,1,700,https://www.transfermarkt.com/maccabi-petah-tikva_ironi-kiryat-shmona/index/spielbericht/2551303
2014/15,06/04/15,2,Championship Round,Maccabi Tel Aviv,Hapoel Beer Sheva,3:1,3,1,13732,https://www.transfermarkt.com/maccabi-tel-aviv_hapoel-beer-sheva/index/spielbericht/2551304
2014/15,12/04/15,3,Championship Round,Beitar Jerusalem,Maccabi Petah Tikva,0:0,0,0,3000,https://www.transfermarkt.com/beitar-jerusalem_maccabi-petah-tikva/index/spielbericht/2551305
2014/15,12/04/15,3,Championship Round,Hapoel Beer Sheva,Maccabi Haifa,1:1,1,1,6000,https://www.transfermarkt.com/hapoel-beer-sheva_maccabi-haifa/index/spielbericht/2551306
2014/15,13/04/15,3,Championship Round,Ironi Kiryat Shmona,Maccabi Tel Aviv,0:0,0,0,3800,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-tel-aviv/index/spielbericht/2551307
2014/15,19/04/15,4,Championship Round,Maccabi Tel Aviv,Beitar Jerusalem,4:1,4,1,12600,https://www.transfermarkt.com/maccabi-tel-aviv_beitar-jerusalem/index/spielbericht/2551310
2014/15,19/04/15,4,Championship Round,Hapoel Beer Sheva,Ironi Kiryat Shmona,2:2,2,2,4500,https://www.transfermarkt.com/hapoel-beer-sheva_ironi-kiryat-shmona/index/spielbericht/2551308
2014/15,20/04/15,4,Championship Round,Maccabi Haifa,Maccabi Petah Tikva,0:0,0,0,21150,https://www.transfermarkt.com/maccabi-haifa_maccabi-petah-tikva/index/spielbericht/2551309
2014/15,25/04/15,5,Championship Round,Maccabi Petah Tikva,Maccabi Tel Aviv,1:1,1,1,9000,https://www.transfermarkt.com/maccabi-petah-tikva_maccabi-tel-aviv/index/spielbericht/2563851
2014/15,26/04/15,5,Championship Round,Beitar Jerusalem,Hapoel Beer Sheva,1:1,1,1,6500,https://www.transfermarkt.com/beitar-jerusalem_hapoel-beer-sheva/index/spielbericht/2563852
2014/15,27/04/15,5,Championship Round,Ironi Kiryat Shmona,Maccabi Haifa,1:0,1,0,2000,https://www.transfermarkt.com/ironi-kiryat-shmona_maccabi-haifa/index/spielbericht/2563853
